sku,name,category,brand,price,stock,reorderPoint,supplier,leadTime,dailySales,weeklySales,depotName,depotLocation
ELE-2431-28,Dell Electronic Model-28,Electronics,Dell,7035,31,26,Direct Supply Co.,7,3.2,23.2,Mumbai Central,"Mumbai, MH"
AUT-4998-29,Michelin Automotive Model-29,Automotive,Michelin,3632,131,128,Prime Importers,6,17.9,117.9,Kolkata West,"Kolkata, WB"
HOM-6370-30,Dyson Home Good Model-30,Home Goods,Dyson,4240,52,36,Direct Supply Co.,12,2.5,17.5,Delhi North,"Delhi, DL"
APP-7998-31,Gucci Apparel Model-31,Apparel,Gucci,13379,135,102,Value Wholesale,8,10.7,82.0,Bangalore East,"Bangalore, KA"
HOM-2551-32,Cuisinart Home Good Model-32,Home Goods,Cuisinart,7432,65,58,Global Logistics,5,9.8,66.2,Delhi North,"Delhi, DL"
SPO-8259-33,Decathlon Sport Model-33,Sports,Decathlon,11878,123,106,Prime Importers,8,11.1,74.8,Kolkata West,"Kolkata, WB"
SNE-7319-34,Nike Sneaker Model-34,Sneakers,Nike,3357,232,206,Direct Supply Co.,9,19.1,134.5,Mumbai Central,"Mumbai, MH"
SPO-5249-35,Spalding Sport Model-35,Sports,Spalding,14721,121,95,Value Wholesale,12,6.6,48.2,Bangalore East,"Bangalore, KA"
ACC-3803-36,Ray-Ban Accessorie Model-36,Accessories,Ray-Ban,1640,736,228,Elite Distributors,12,15.9,112.6,Bangalore East,"Bangalore, KA"
SPO-3392-37,Under Armour Sport Model-37,Sports,Under Armour,5914,717,194,Direct Supply Co.,10,16.2,105.2,Kolkata West,"Kolkata, WB"
AUT-5769-38,Bosch Automotive Model-38,Automotive,Bosch,5127,651,173,Elite Distributors,8,18.1,119.5,Delhi North,"Delhi, DL"
ACC-6451-39,Casio Accessorie Model-39,Accessories,Casio,4216,535,153,Prime Importers,10,12.8,95.0,Delhi North,"Delhi, DL"
AUT-6742-40,Bosch Automotive Model-40,Automotive,Bosch,1616,164,46,Prime Importers,11,3.5,22.1,Kolkata West,"Kolkata, WB"
SPO-9058-41,Yonex Sport Model-41,Sports,Yonex,5438,299,79,Prime Importers,6,11.1,81.5,Delhi North,"Delhi, DL"
ELE-7989-42,Dell Electronic Model-42,Electronics,Dell,9933,562,157,Value Wholesale,7,18.8,143.8,Mumbai Central,"Mumbai, MH"
SPO-8218-43,Under Armour Sport Model-43,Sports,Under Armour,1568,107,32,Value Wholesale,10,2.7,20.6,Mumbai Central,"Mumbai, MH"
SNE-1789-44,Adidas Sneaker Model-44,Sneakers,Adidas,10749,584,140,Elite Distributors,7,16.7,123.6,Mumbai Central,"Mumbai, MH"
SPO-2143-45,Wilson Sport Model-45,Sports,Wilson,5109,569,173,Elite Distributors,8,18.1,114.7,Bangalore East,"Bangalore, KA"
ELE-5135-46,Logitech Electronic Model-46,Electronics,Logitech,5327,700,197,Value Wholesale,12,13.7,99.8,Bangalore East,"Bangalore, KA"
SPO-5693-47,Yonex Sport Model-47,Sports,Yonex,9543,404,100,Direct Supply Co.,11,7.6,55.9,Mumbai Central,"Mumbai, MH"
SPO-5149-48,Decathlon Sport Model-48,Sports,Decathlon,2340,449,115,Value Wholesale,9,10.7,78.5,Kolkata West,"Kolkata, WB"
HOM-3398-49,IKEA Home Good Model-49,Home Goods,IKEA,14610,238,87,Prime Importers,7,10.4,65.7,Kolkata West,"Kolkata, WB"
ACC-4513-50,Coach Accessorie Model-50,Accessories,Coach,4630,385,101,Elite Distributors,11,7.7,54.2,Bangalore East,"Bangalore, KA"
