sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image,riskLevel,stockoutIn,reorderQty
APP-024,"Fruit of the Loom 5-Pack Tees",Apparel,160,22,FashionFirst,25,12,84,Fruit of the Loom,5,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,13,50
APP-025,"Dickies Work Shirt",Apparel,95,32,UrbanWear,30,8,56,Dickies,7,"Aayush's Depot",https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400&q=80,MEDIUM,12,60
APP-026,"Carhartt Knit Beanie",Apparel,140,18,OutdoorGear,30,10,70,Carhartt,5,"Aayush's Depot",https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=400&q=80,SAFE,14,60
APP-027,"Champion Reverse Weave Crew",Apparel,85,38,StyleHub,30,9,63,Champion,7,"Aayush's Depot",https://images.unsplash.com/photo-1620799139834-6b8f844fbe61?w=400&q=80,MEDIUM,9,60
APP-028,"Wrangler Cowboy Cut Jeans",Apparel,110,42,DenimWorld,30,7,49,Wrangler,7,"Aayush's Depot",https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&q=80,SAFE,16,60
APP-029,"Lee Regular Fit Jeans",Apparel,125,38,DenimWorld,30,8,56,Lee,7,"Aayush's Depot",https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&q=80,SAFE,16,60
APP-030,"Levi's 505 Regular Fit Jeans",Apparel,18,58,DenimWorld,40,7,49,Levi's,10,"Aayush's Depot",https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&q=80,HIGH RISK,3,80
APP-031,"Columbia Fleece Jacket",Apparel,65,54,OutdoorGear,35,6,42,Columbia,10,"Aayush's Depot",https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400&q=80,MEDIUM,11,70
APP-032,"The North Face Borealis Backpack",Apparel,45,89,OutdoorGear,35,5,35,The North Face,10,"Aayush's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,MEDIUM,9,70
APP-033,"Patagonia Better Sweater",Apparel,55,119,OutdoorGear,35,4,28,Patagonia,14,"Aayush's Depot",https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=400&q=80,MEDIUM,14,70
APP-034,"Eddie Bauer Down Jacket",Apparel,12,149,OutdoorGear,40,3,21,Eddie Bauer,14,"Aayush's Depot",https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&q=80,HIGH RISK,4,80
APP-035,"Uniqlo Heattech Long Sleeve",Apparel,200,19,FashionFirst,20,15,105,Uniqlo,3,"Aayush's Depot",https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=400&q=80,SAFE,13,40
APP-036,"H&M Basic Cotton T-Shirt",Apparel,250,9,FashionFirst,15,20,140,H&M,3,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,13,30
APP-037,"Gap Khaki Chinos",Apparel,90,48,FashionFirst,30,7,49,Gap,7,"Aayush's Depot",https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400&q=80,MEDIUM,13,60
APP-038,"Old Navy Cargo Shorts",Apparel,150,28,FashionFirst,25,10,70,Old Navy,5,"Aayush's Depot",https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=400&q=80,SAFE,15,50
APP-039,"American Eagle Skinny Jeans",Apparel,70,54,FashionFirst,30,6,42,American Eagle,7,"Aayush's Depot",https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&q=80,MEDIUM,12,60
APP-040,"Hollister Graphic T-Shirt",Apparel,105,24,FashionFirst,30,9,63,Hollister,5,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,12,60
SNE-041,"Nike Air Max 90",Sneakers,35,130,Footlocker,35,7,49,Nike,7,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,MEDIUM,5,70
SNE-042,"Adidas Superstar Sneakers",Sneakers,85,85,Footlocker,30,8,56,Adidas,7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,MEDIUM,11,60
SNE-043,"Nike Air Force 1 White",Sneakers,12,110,Footlocker,40,9,63,Nike,7,"Parth's Depot",https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&q=80,HIGH RISK,2,80
SNE-044,"Adidas Stan Smith",Sneakers,95,90,Footlocker,30,7,49,Adidas,7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,MEDIUM,14,60
SNE-045,"Nike Revolution 6 Running",Sneakers,140,65,Footlocker,30,10,70,Nike,5,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,SAFE,14,60
SNE-046,"Adidas Cloudfoam Pure",Sneakers,120,70,Footlocker,30,8,56,Adidas,5,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,SAFE,15,60
SNE-047,"Puma Cali Sport Sneakers",Sneakers,75,75,Footlocker,30,7,49,Puma,7,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,MEDIUM,11,60
SNE-048,"Reebok Classic Leather",Sneakers,100,80,Footlocker,30,6,42,Reebok,7,"Parth's Depot",https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400&q=80,SAFE,17,60
SNE-049,"New Balance 574 Core",Sneakers,110,85,Footlocker,30,7,49,New Balance,7,"Parth's Depot",https://images.unsplash.com/photo-1539185441755-769473a23570?w=400&q=80,SAFE,16,60
SNE-050,"Converse Chuck Taylor All Star",Sneakers,160,55,Footlocker,25,11,77,Converse,5,"Parth's Depot",https://images.unsplash.com/photo-1607522370275-f14206abe5d3?w=400&q=80,SAFE,15,50
SNE-051,"Vans Old Skool Black/White",Sneakers,130,65,Footlocker,30,9,63,Vans,5,"Parth's Depot",https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=400&q=80,SAFE,14,60
SNE-052,"Skechers Go Walk 6",Sneakers,150,60,Footlocker,25,10,70,Skechers,5,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,SAFE,15,50
SNE-053,"ASICS Gel-Venture 8",Sneakers,80,70,SportsPro,30,6,42,ASICS,7,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,MEDIUM,13,60
SNE-054,"Under Armour Charged Assert",Sneakers,90,75,SportsPro,30,7,49,Under Armour,7,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,MEDIUM,13,60
SNE-055,"Nike Tanjun Running Shoes",Sneakers,170,70,Footlocker,25,9,63,Nike,5,"Parth's Depot",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,SAFE,19,50
SNE-056,"Adidas Lite Racer Adapt",Sneakers,145,65,Footlocker,25,10,70,Adidas,5,"Parth's Depot",https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&q=80,SAFE,15,50
SNE-057,"Air Jordan 1 Mid",Sneakers,15,125,Footlocker,40,8,56,Nike,10,"Parth's Depot",https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&q=80,HIGH RISK,2,80
SNE-058,"Air Jordan 4 Retro",Sneakers,10,190,Footlocker,40,6,42,Nike,14,"Parth's Depot",https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&q=80,HIGH RISK,2,80
SNE-059,"Adidas Yeezy Slide",Sneakers,18,70,Footlocker,40,7,49,Adidas,10,"Parth's Depot",https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=400&q=80,HIGH RISK,3,80
SNE-060,"Crocs Classic Clog",Sneakers,200,45,FashionFirst,20,12,84,Crocs,3,"Parth's Depot",https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&q=80,SAFE,17,40
ACC-061,"JanSport SuperBreak Backpack",Accessories,140,45,UrbanWear,30,9,63,JanSport,5,"Abhay's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,SAFE,16,60
ACC-062,"Herschel Classic Backpack",Accessories,85,70,UrbanWear,30,7,49,Herschel,7,"Abhay's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,MEDIUM,12,60
ACC-063,"Fossil Leather Bifold Wallet",Accessories,110,48,LuxAccessories,30,8,56,Fossil,7,"Abhay's Depot",https://images.unsplash.com/photo-1627123424574-724758594e93?w=400&q=80,SAFE,14,60
ACC-064,"Timex Weekender Watch",Accessories,95,42,FashionFirst,30,7,49,Timex,7,"Abhay's Depot",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&q=80,MEDIUM,14,60
ACC-065,"Casio F-91W Digital Watch",Accessories,150,35,FashionFirst,25,10,70,Casio,5,"Abhay's Depot",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&q=80,SAFE,15,50
ACC-066,"Ray-Ban Wayfarer Sunglasses",Accessories,12,154,LuxAccessories,40,5,35,Ray-Ban,10,"Abhay's Depot",https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400&q=80,HIGH RISK,3,80
ACC-067,"Oakley Frogskins Sunglasses",Accessories,45,120,LuxAccessories,35,4,28,Oakley,10,"Abhay's Depot",https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=400&q=80,MEDIUM,11,70
ACC-068,"Yeti Rambler 30oz Tumbler",Accessories,180,35,OutdoorGear,25,11,77,Yeti,5,"Abhay's Depot",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&q=80,SAFE,16,50
ACC-069,"Hydro Flask 32oz Wide Mouth",Accessories,140,42,OutdoorGear,30,9,63,Hydro Flask,5,"Abhay's Depot",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&q=80,SAFE,16,60
ACC-070,"Stanley Classic Thermos",Accessories,120,32,OutdoorGear,30,8,56,Stanley,7,"Abhay's Depot",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&q=80,SAFE,15,60
ACC-071,"Contigo Autoseal Travel Mug",Accessories,200,22,HomeEssentials,20,12,84,Contigo,3,"Abhay's Depot",https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&q=80,SAFE,17,40
ACC-072,"Samsonite Winfield 2 Luggage",Accessories,35,189,TravelGear,35,3,21,Samsonite,14,"Abhay's Depot",https://images.unsplash.com/photo-1565026057447-bc90a3dceb87?w=400&q=80,MEDIUM,12,70
ACC-073,"American Tourister Carry-On",Accessories,55,129,TravelGear,35,4,28,American Tourister,10,"Abhay's Depot",https://images.unsplash.com/photo-1565026057447-bc90a3dceb87?w=400&q=80,MEDIUM,14,70
ACC-074,"Timbuk2 Classic Messenger Bag",Accessories,75,89,UrbanWear,30,6,42,Timbuk2,7,"Abhay's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,MEDIUM,13,60
ACC-075,"Fjällräven Kånken Backpack",Accessories,18,80,OutdoorGear,40,5,35,Fjällräven,10,"Abhay's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,HIGH RISK,4,80
ACC-076,"Osprey Daylite Plus Backpack",Accessories,65,65,OutdoorGear,35,6,42,Osprey,10,"Abhay's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,MEDIUM,11,70
ACC-077,"Bellroy Slim Sleeve Wallet",Accessories,90,79,LuxAccessories,30,7,49,Bellroy,7,"Abhay's Depot",https://images.unsplash.com/photo-1627123424574-724758594e93?w=400&q=80,MEDIUM,13,60
ACC-078,"Ridge Carbon Fiber Wallet",Accessories,70,95,LuxAccessories,30,6,42,Ridge,7,"Abhay's Depot",https://images.unsplash.com/photo-1627123424574-724758594e93?w=400&q=80,MEDIUM,12,60
ACC-079,"Tile Mate Bluetooth Tracker",Accessories,190,25,TechSource,25,11,77,Tile,3,"Abhay's Depot",https://images.unsplash.com/photo-1591337676887-a217a6970a8a?w=400&q=80,SAFE,17,50
ACC-080,"Apple AirTag 4-Pack",Accessories,15,99,TechSource,40,7,49,Apple,7,"Abhay's Depot",https://images.unsplash.com/photo-1591337676887-a217a6970a8a?w=400&q=80,HIGH RISK,3,80
ELE-081,"Roku Streaming Stick 4K",Electronics,110,49,TechSource,30,8,56,Roku,5,"Animesh's Depot",https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400&q=80,SAFE,14,60
ELE-082,"Amazon Fire TV Stick 4K",Electronics,180,39,TechSource,25,12,84,Amazon,3,"Animesh's Depot",https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400&q=80,SAFE,15,50
ELE-083,"Google Chromecast with TV",Electronics,150,29,TechSource,25,11,77,Google,3,"Animesh's Depot",https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400&q=80,SAFE,14,50
ELE-084,"Philips Hue White 2-Pack",Electronics,85,49,HomeEssentials,30,7,49,Philips,7,"Animesh's Depot",https://images.unsplash.com/photo-1558089687-e5c0c9fc4d0c?w=400&q=80,MEDIUM,12,60
ELE-085,"TP-Link Kasa Smart Plug 4-Pack",Electronics,120,24,HomeEssentials,30,10,70,TP-Link,5,"Animesh's Depot",https://images.unsplash.com/photo-1558002038-1055907df827?w=400&q=80,SAFE,12,60
ELE-086,"Wyze Cam v3 Security Camera",Electronics,95,35,HomeEssentials,30,8,56,Wyze,7,"Animesh's Depot",https://images.unsplash.com/photo-1558002038-1055907df827?w=400&q=80,MEDIUM,12,60
ELE-087,"Ring Video Doorbell Wired",Electronics,12,99,HomeEssentials,40,6,42,Ring,10,"Animesh's Depot",https://images.unsplash.com/photo-1558002038-1055907df827?w=400&q=80,HIGH RISK,2,80
ELE-088,"Google Nest Mini Speaker",Electronics,140,49,TechSource,30,9,63,Google,5,"Animesh's Depot",https://images.unsplash.com/photo-1543512214-318c7553f230?w=400&q=80,SAFE,16,60
ELE-089,"Amazon Echo Dot 5th Gen",Electronics,170,49,TechSource,25,10,70,Amazon,3,"Animesh's Depot",https://images.unsplash.com/photo-1543512214-318c7553f230?w=400&q=80,SAFE,17,50
ELE-090,"JBL Flip 5 Portable Speaker",Electronics,80,119,AudioPro,30,7,49,JBL,7,"Animesh's Depot",https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&q=80,MEDIUM,11,60
APP-091,"Nike Dri-FIT Training Tee",Apparel,130,28,ActiveWear,30,10,70,Nike,5,"Aayush's Depot",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&q=80,SAFE,13,60
APP-092,"Adidas Tiro 21 Track Pants",Apparel,95,45,ActiveWear,30,7,49,Adidas,7,"Aayush's Depot",https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400&q=80,MEDIUM,14,60
APP-093,"Under Armour HeatGear Shirt",Apparel,110,35,ActiveWear,30,8,56,Under Armour,5,"Aayush's Depot",https://images.unsplash.com/photo-1583743814966-8936f5b7be1a?w=400&q=80,SAFE,14,60
APP-094,"Puma Essential Training Shorts",Apparel,140,32,ActiveWear,30,9,63,Puma,5,"Aayush's Depot",https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=400&q=80,SAFE,16,60
APP-095,"Reebok Workout Ready Sports Bra",Apparel,100,38,ActiveWear,30,7,49,Reebok,7,"Aayush's Depot",https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=400&q=80,SAFE,14,60
APP-096,"Lululemon Align High-Rise Leggings",Apparel,16,98,ActiveWear,40,8,56,Lululemon,10,"Aayush's Depot",https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=400&q=80,HIGH RISK,2,80
APP-097,"Champion Performance Socks 6-Pack",Apparel,180,16,ActiveWear,25,13,91,Champion,3,"Aayush's Depot",https://images.unsplash.com/photo-1586350977771-b3b0abd50c82?w=400&q=80,SAFE,14,50
APP-098,"Nike Swoosh Headband 2-Pack",Apparel,200,12,ActiveWear,20,15,105,Nike,3,"Aayush's Depot",https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=400&q=80,SAFE,13,40
APP-099,"Adidas Originals Trefoil Cap",Apparel,150,22,ActiveWear,25,11,77,Adidas,5,"Aayush's Depot",https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=400&q=80,SAFE,14,50
APP-100,"Under Armour Undeniable Duffel",Apparel,75,48,ActiveWear,30,6,42,Under Armour,7,"Aayush's Depot",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=400&q=80,MEDIUM,13,60
