sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image
ELC-010,JBL Flip 6 Speaker,Electronics,210,129,JBL,42,11,77,JBL,6,Abhay's Depot,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400
SPT-006,Yonex Badminton Racket,Sports,110,89,Yonex,22,6,42,Yonex,10,Parth's Depot,https://images.unsplash.com/photo-1626224583764-f87db24ac4ea?w=400
SPT-007,Callaway Golf Club Set,Sports,45,799,Callaway,9,2,14,Callaway,20,Animesh's Depot,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=400
SPT-008,Speedo Swim Goggles,Sports,230,25,Speedo,46,12,84,Speedo,5,Aayush's Depot,https://images.unsplash.com/photo-1519315901367-f34ff9154487?w=400
SPT-009,Bowflex Dumbbells,Sports,70,349,Bowflex,14,3,21,Bowflex,15,Abhay's Depot,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=400
SPT-010,Garmin Forerunner 245,Sports,95,299,Garmin,19,5,35,Garmin,12,Parth's Depot,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400
HOM-006,Instant Pot Duo 7-in-1,Home Goods,140,99,Instant Brands,28,7,49,Instant Pot,9,Animesh's Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
HOM-007,Shark Navigator Vacuum,Home Goods,105,199,SharkNinja,21,5,35,Shark,11,Aayush's Depot,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400
HOM-008,Cuisinart Food Processor,Home Goods,90,149,Cuisinart,18,5,35,Cuisinart,10,Abhay's Depot,https://images.unsplash.com/photo-1578643463396-0997cb5328c1?w=400
HOM-009,Keurig K-Elite Coffee,Home Goods,120,169,Keurig,24,6,42,Keurig,8,Parth's Depot,https://images.unsplash.com/photo-1517668808822-9ebb02f2a0e6?w=400
HOM-010,Ninja Blender Pro,Home Goods,155,89,SharkNinja,31,8,56,Ninja,7,Animesh's Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
AUT-006,Rain-X Windshield Wipers,Automotive,220,29,Rain-X,44,11,77,Rain-X,6,Aayush's Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400
AUT-007,Armor All Car Care Kit,Automotive,180,39,Armor All,36,9,63,Armor All,7,Abhay's Depot,https://images.unsplash.com/photo-1607860108855-64acf2078ed9?w=400
AUT-008,WeatherTech Floor Mats,Automotive,95,149,WeatherTech,19,5,35,WeatherTech,12,Parth's Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400
AUT-009,Mobil 1 Synthetic Oil,Automotive,270,45,ExxonMobil,54,14,98,Mobil 1,5,Animesh's Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400
AUT-010,Thule Roof Rack,Automotive,60,399,Thule Group,12,3,21,Thule,15,Aayush's Depot,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?w=400
SNK-011,Skechers Go Walk,Sneakers,210,70,Skechers,42,11,77,Skechers,6,Abhay's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-012,Salomon Speedcross,Sneakers,105,140,Salomon,21,5,35,Salomon,11,Parth's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-013,Brooks Ghost 14,Sneakers,115,130,Brooks,23,6,42,Brooks,10,Animesh's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-014,Hoka One One Clifton,Sneakers,125,145,Hoka,25,6,42,Hoka,9,Aayush's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
SNK-015,Fila Disruptor II,Sneakers,195,75,Fila,39,10,70,Fila,7,Abhay's Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400
APP-011,Patagonia Fleece Jacket,Apparel,95,149,Patagonia,19,5,35,Patagonia,13,Parth's Depot,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400
APP-012,Columbia Rain Jacket,Apparel,130,89,Columbia,26,7,49,Columbia,9,Animesh's Depot,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400
APP-013,Carhartt Work Pants,Apparel,160,69,Carhartt,32,8,56,Carhartt,8,Aayush's Depot,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400
APP-014,Dickies Work Shirt,Apparel,200,39,Dickies,40,10,70,Dickies,6,Abhay's Depot,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400
APP-015,Lululemon Yoga Pants,Apparel,140,98,Lululemon,28,7,49,Lululemon,10,Parth's Depot,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=400
ACC-011,Samsonite Luggage,Accessories,65,249,Samsonite,13,3,21,Samsonite,14,Animesh's Depot,https://images.unsplash.com/photo-1565026057447-bc90a3dceb87?w=400
ACC-012,Skullcandy Earbuds,Accessories,250,39,Skullcandy,50,12,84,Skullcandy,5,Aayush's Depot,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400
ACC-013,Anker USB-C Cable,Accessories,400,15,Anker Tech,80,20,140,Anker,4,Abhay's Depot,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=400
ACC-014,PopSocket Phone Grip,Accessories,350,12,PopSockets,70,18,126,PopSockets,5,Parth's Depot,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=400
ACC-015,Spigen Phone Case,Accessories,300,25,Spigen,60,15,105,Spigen,6,Animesh's Depot,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=400
ELC-011,Roku Streaming Stick,Electronics,145,49,Roku Inc,29,7,49,Roku,8,Aayush's Depot,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400
ELC-012,Amazon Echo Dot,Electronics,190,49,Amazon,38,10,70,Amazon,7,Abhay's Depot,https://images.unsplash.com/photo-1543512214-318c7553f230?w=400
ELC-013,Google Nest Mini,Electronics,175,49,Google,35,9,63,Google,7,Parth's Depot,https://images.unsplash.com/photo-1543512214-318c7553f230?w=400
ELC-014,Ring Video Doorbell,Electronics,110,99,Ring Inc,22,6,42,Ring,10,Animesh's Depot,https://images.unsplash.com/photo-1558002038-1055907df827?w=400
ELC-015,TP-Link WiFi Router,Electronics,135,79,TP-Link,27,7,49,TP-Link,9,Aayush's Depot,https://images.unsplash.com/photo-1606904825846-647eb07f5be2?w=400
SPT-011,Coleman Camping Tent,Sports,55,199,Coleman,11,3,21,Coleman,14,Abhay's Depot,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=400
SPT-012,Hydro Flask Water Bottle,Sports,280,35,Hydro Flask,56,14,98,Hydro Flask,5,Parth's Depot,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400
SPT-013,YETI Cooler 35,Sports,70,299,YETI,14,3,21,YETI,15,Animesh's Depot,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400
SPT-014,Black Diamond Headlamp,Sports,160,45,Black Diamond,32,8,56,Black Diamond,8,Aayush's Depot,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=400
SPT-015,Osprey Hiking Backpack,Sports,85,189,Osprey,17,4,28,Osprey,12,Abhay's Depot,https://images.unsplash.com/photo-1622260614927-9c2e4e0e8e0e?w=400
HOM-011,Bissell Carpet Cleaner,Home Goods,95,179,Bissell,19,5,35,Bissell,11,Parth's Depot,https://images.unsplash.com/photo-1558317374-067fb5f30001?w=400
HOM-012,Black+Decker Toaster,Home Goods,185,29,Black+Decker,37,9,63,Black+Decker,6,Animesh's Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
HOM-013,Hamilton Beach Blender,Home Goods,170,39,Hamilton Beach,34,9,63,Hamilton Beach,7,Aayush's Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400
HOM-014,OXO Good Grips Set,Home Goods,220,49,OXO,44,11,77,OXO,6,Abhay's Depot,https://images.unsplash.com/photo-1556911220-bff31c812dba?w=400
HOM-015,Pyrex Glass Storage Set,Home Goods,200,35,Pyrex,40,10,70,Pyrex,5,Parth's Depot,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=400
